brand,campaign_name,platform,backlash_occurred,virality_score,outcome,lessons_learned
Surf Excel,Holi Unity Ad,YouTube,no,92,Success,Positive festival messaging works when authentic and promotes unity
Zomato,Delivery Hero,Instagram,no,88,Success,Relatable everyday heroes resonate well with Indian audiences
Google India,Reunion,YouTube,no,95,Success,Emotional storytelling about India-Pakistan friendship works when apolitical
Cadbury,Kuch Meetha Ho Jaye,YouTube,no,85,Success,Celebrating small moments and traditions creates positive engagement
Ariel,Share The Load,YouTube,no,90,Success,Progressive social messaging works when respectful and relatable
Vicks,Touch of Care,YouTube,no,87,Success,Inclusive storytelling about transgender community resonates when authentic
Tata Tea,Jaago Re,YouTube,no,82,Success,Social awakening campaigns work when they inspire without preaching
Dove,Real Beauty India,Instagram,no,78,Success,Body positivity messaging resonates when it challenges beauty standards
Amazon India,Diwali Deliveries,YouTube,no,84,Success,Festival-themed content works when it celebrates traditions authentically
Flipkart,Kids Exchange Offer,YouTube,no,89,Success,Humorous takes on parenting resonate across demographics
Tanishq,Interfaith Baby Shower,Instagram,yes,85,Backlash,Interfaith themes polarize - test with focus groups before launch
Dabur,Karva Chauth LGBTQ,Twitter,yes,78,Backlash,Traditional festivals + modern values = controversy without careful framing
FabIndia,Jashn-e-Riwaaz Diwali,Twitter,yes,72,Backlash,Using Urdu for Hindu festival seen as cultural appropriation by some
Manyavar,Kanyamaan Dowry,YouTube,yes,68,Mixed,Dowry messaging seen as tone-deaf when brand sells wedding products
Red Label Tea,Free Ka Matlab,YouTube,yes,65,Backlash,Caste-related messaging extremely sensitive - avoid unless expertly handled
Myntra,Bold Fashion Statement,Instagram,yes,70,Backlash,Logo resembling inappropriate imagery triggers backlash - test visual elements
Surf Excel,Holi Stain Protection,Twitter,yes,62,Backlash,Hindu-Muslim unity themes polarize in politically charged climate
Lux,Fair Skin Glow,Instagram,yes,55,Backlash,Fair skin messaging triggers colorism backlash - avoid completely
Pepsi,Kashmir Campaign,Twitter,yes,58,Backlash,Kashmir references extremely sensitive - avoid geopolitical topics
Reebok,Fitness Challenge Ramadan,Instagram,yes,60,Backlash,Fitness promotion during fasting month seen as insensitive
Nike India,Da Da Ding,YouTube,no,81,Success,Women empowerment in sports resonates when showing real athletes
Swiggy,Voice of Hunger,Instagram,no,76,Success,Humorous food content works across platforms and demographics
Paytm,Cashless India,Twitter,no,73,Success,Practical utility messaging resonates during relevant moments
Amul,Topical Ads,Twitter,no,86,Success,"Timely, witty commentary on current events works when apolitical"
Ola,Chalo Niklo,Instagram,no,74,Success,Travel and exploration themes resonate with aspirational audiences
